subject,DU time o,DU time r,DU time a,DU time n,DU time g,DU time shift,DU time E,DU time 2,DU time 0,DU time 1,DU time 9,DU time shift,DU time !,UD time o,UD time r,UD time a,UD time n,UD time g,UD time shift,UD time E,UD time 2,UD time 0,UD time 1,UD time 9,UD time shift,UD time !,3GRAM1,3GRAM2,3GRAM3,3GRAM4,3GRAM5,3GRAM6,3GRAM7,3GRAM8,3GRAM9,TOTAL TIME
sub17,0.066,0.072,0.066,0.079,0.055,0.208,0.072,0.066,0.058,0.075,0.062,0.24,0.08,0.217,0.095,0.153,0.325,0.081,0.02,0.346,0.476,0.222,0.151,0.365,0.08,0.748,0.845,0.967,0.8,0.808,1.206,1.315,1.11,1.141,0.893,3.53
sub19,0.019,0.067,0.099,0.059,0.063,0.183,0.079,0.094,0.071,0.075,0.047,0.256,0.087,0.088,0.134,0.029,0.135,0.182,0.055,0.371,0.036,0.035,0.009,0.164,0.087,0.495,0.586,0.75,0.646,0.917,0.779,0.761,0.367,0.613,0.551,2.24
sub19,0.063,0.055,0.103,0.071,0.067,0.248,0.107,0.095,0.071,0.135,0.055,0.264,0.107,0.092,0.152,0.005,0.123,0.151,0.107,0.558,0.051,0.044,0.031,0.154,0.107,0.541,0.576,0.748,0.66,1.119,1.023,1.081,0.42,0.656,0.577,2.526
sub20,0.115,0.088,0.094,0.111,0.11,0.311,0.11,0.11,0.094,0.079,0.078,0.369,0.125,0.04,0.125,0.031,0.094,0.338,0.11,0.219,0.156,0.04,0.107,0.281,0.125,0.604,0.653,1.074,0.964,1.088,0.89,0.823,0.664,1.017,0.914,2.99
sub21,0.14,0.094,0.125,0.125,0.093,0.313,0.125,0.11,0.125,0.125,0.109,0.266,0.141,0.016,0.109,0.016,0.094,0.25,0.125,0.187,0.062,0.016,0.031,0.203,0.125,0.625,0.656,1.016,0.875,0.953,0.797,0.75,0.578,0.875,0.75,2.625
sub21,0.125,0.094,0.14,0.11,0.125,0.266,0.094,0.125,0.109,0.11,0.11,0.235,0.11,0.047,0.094,0,0.093,0.25,0.094,0.344,0.047,0.016,0.046,0.265,0.11,0.61,0.656,0.953,0.844,1.11,0.891,0.844,0.531,0.859,0.766,2.719
sub22,0.156,0.14,0.14,0.14,0.11,0.343,0.125,0.141,0.094,0.094,0.094,0.281,0.094,0.031,0.079,0.016,0.11,0.281,0.125,0.282,0.031,0.015,0.047,0.156,0.094,0.64,0.735,1.062,0.984,1.157,0.891,0.86,0.516,0.719,0.672,2.719
sub24,0.093,0.093,0.094,0.093,0.094,0.296,0.094,0.14,0.109,0.125,0.093,0.219,0.14,0.079,0.219,0.047,0.141,0.125,0.094,0.251,0,0.015,0.031,0.063,0.125,0.718,0.781,0.844,0.749,0.906,0.796,0.75,0.421,0.563,0.484,2.343
sub25,0.11,0.125,0.141,0.125,0.094,0.297,0.125,0.094,0.11,0.11,0.094,0.25,0.125,0.016,0,0.078,0.062,0.14,0.125,0.297,0.016,0.047,0.016,0.172,0.125,0.407,0.469,0.766,0.718,0.922,0.782,0.688,0.329,0.657,0.61,2.048
sub26,0.143,0.139,0.113,0.132,0.114,0.34,0.141,0.133,0.134,0.143,0.107,0.394,0.161,0.09,0.229,0.102,0.189,0.403,0.141,0.254,0.123,0.016,0.03,0.326,0.161,0.948,1.018,1.362,1.178,1.244,0.984,0.975,0.686,1.067,1,3.654
